S.No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme,Deadline for Idea Submission
1,Ministry of Development of North Eastern Region (MoDoNER),Smart Community Health Monitoring and Early Warning System for Water-Borne Diseases in Rural Northeast India,Software,SIH25001,1100/500,MedTech / BioTech / HealthTech,30 September 2025
2,Ministry of Development of North Eastern Region (MoDoNER),Smart Tourist Safety Monitoring & Incident Response System using Al, Geo-Fencing, and Blockchain-based Digital ID,Software,SIH25002,290/500,Travel & Tourism,30 September 2025
3,Ministry of Development of North Eastern Region (MoDoNER),Low-Cost smart transportation solution for Agri produce from remote farms to nearest motorable road in NER Region,Hardware,SIH25003,32/500,Transportation & Logistics,30 September 2025
4,Ministry of Fisheries, Animal Husbandry & Dairying,Image based breed recognition for cattle and buffaloes of India,Software,SIH25004,97/500,Agriculture, FoodTech & Rural Development,30 September 2025
5,Ministry of Fisheries, Animal Husbandry & Dairying,Image based Animal Type Classification for cattle and buffaloes,Software,SIH25005,25/500,Agriculture, FoodTech & Rural Development,30 September 2025
6,Ministry of Fisheries, Animal Husbandry & Dairying,Development of a Digital Farm Management Portal for implementing Biosecurity measures in Pig and Poultry Farms,Software,SIH25006,21/500,Agriculture, FoodTech & Rural Development,30 September 2025
7,Ministry of Fisheries, Animal Husbandry & Dairying,Development of a Digital Farm Management Portal for Monitoring Maximum Residue Limits (MRL) and Antimicrobial Usage (AMU) in Livestock,Software,SIH25007,17/500,Agriculture, FoodTech & Rural Development,30 September 2025
8,Government of Punjab,Disaster Preparedness and Response Education System for Schools and Colleges,Software,SIH25008,89/500,Disaster Management,30 September 2025
9,Government of Punjab,Gamified Environmental Education Platform for Schools and Colleges,Software,SIH25009,145/500,Smart Education,30 September 2025
10,Government of Punjab,Smart Crop Advisory System for Small and Marginal Farmers,Software,SIH25010,173/500,Agriculture, FoodTech & Rural Development,30 September 2025
11,Government of Punjab,Smart Curriculum Activity & Attendance App,Software,SIH25011,99/500,Smart Education,30 September 2025
